player_id,team_id,player_name,team,position,assists,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,source_tab,story_id,classification
485655,285023_43946,Michael Olise,France,FW,5,5,14,0,7,7,0,1.61,0x,17,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430740,285023_43872,Brahim Diaz,Morocco,FW,4,1,5,0,4,1,0,0.29,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430605,285023_43924,Bruno Guimaraes,Brazil,MF,4,2,8,0,5,3,1,0.23,0x,8,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
403585,285023_43911,Roberto Alvarado,Mexico,FW,3,0,5,0,2,3,0,0.28,0x,5,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430669,285023_43948,Florian Wirtz,Germany,MF,3,1,10,0,5,5,0,0.97,0x,5,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
400716,285023_43961,Martin Odegaard,Norway,MF,3,2,8,0,5,3,0,0.31,0x,9,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
494626,285023_43961,Andreas Schjelderup,Norway,MF,3,1,2,0,2,0,0,0.08,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430150,285023_43970,Alexander Isak,Sweden,FW,3,6,8,13,5,3,1,0.68,1.48x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
502727,285023_43971,Johan Manzambi,Switzerland,MF,2,3,6,50,4,2,0,0.63,4.73x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
483327,285023_43970,Viktor Gyokeres,Sweden,FW,2,6,12,8,9,3,0,1.39,0.72x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
274078,285023_43978,Chris Wood,New Zealand,FW,2,2,5,0,3,2,2,0.47,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
393480,285023_43971,Breel Embolo,Switzerland,FW,2,4,9,22,7,2,1,2.53,0.79x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430735,285023_43969,Marc Cucurella,Spain,DF,2,2,3,0,3,0,1,0.26,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
389867,285023_43946,Kylian Mbappe,France,FW,2,17,26,27,17,9,0,3.87,1.81x,4,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
448189,285023_43942,Anthony Gordon,England,FW,2,2,4,0,4,0,2,0.33,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
489518,285023_43960,Crysencio Summerville,Netherlands,FW,2,2,2,100,1,1,0,0.16,12.33x,3,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
