player_id,team_id,player_name,team,position,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,source_tab,story_id,classification
484849,285023_43948,Aleksandar Pavlovic,Germany,MF,13,4,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
385306,285023_43928,Andres Cubas,Paraguay,MF,12,3,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
485740,285023_43872,Neil El Aynaoui,Morocco,MF,11,7,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
448598,285023_43872,Ismael Saibari,Morocco,MF,8,3,0,0,0,2,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
418729,285023_43914,Carlos Harvey,Panama,DF,8,3,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
479601,285023_43928,Juan Jose Caceres,Paraguay,DF,8,3,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
436743,285023_44037,Ermedin Demirovic,Bosnia and Herzegovina,FW,8,2,1,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
475260,285023_44005,Behruzjon Karimov,Uzbekistan,DF,8,4,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
385475,285023_44005,Eldor Shomurodov,Uzbekistan,FW,8,4,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
489689,285023_43970,Lucas Bergvall,Sweden,MF,7,4,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
483505,285023_43961,David Moller Wolfe,Norway,DF,7,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
402047,285023_43946,Adrien Rabiot,France,MF,7,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
403319,285023_43835,Nasser Aldawsari,Saudi Arabia,MF,7,2,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
403274,285023_43819,Hiroki Ito,Japan,DF,7,0,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
423874,285023_43822,Lee Hanbeom,Korea Republic,DF,7,3,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
419473,285023_43834,Jassem Gaber,Qatar,DF,7,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
371736,285023_43817,Saeid Ezatolahi,IR Iran,MF,7,4,2,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
386538,285023_43930,Rodrigo Bentancur,Uruguay,MF,7,5,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
402876,285023_43930,Agustin Canobbio,Uruguay,MF,7,5,0,1,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
424422,285023_43928,Matias Galarza,Paraguay,MF,7,6,2,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
353235,285023_43860,Jordan Ayew,Ghana,FW,7,5,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
489300,285023_43908,Martin Experience,Haiti,DF,7,6,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
371609,285023_43854,Franck Kessie,Côte d'Ivoire,MF,7,2,1,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
