player_id,team_id,player_name,team,position,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,total_competition_minutes_played,fdcp_top_scorer_rank,assists,is_active
512127,285023_43843,Achref Abada,Algeria,DF,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,261.0,0.0,False
376285,285023_43843,Aissa Mandi,Algeria,DF,0,0,0,0,0,0,0.0,0.0,0,0,14,19,6,0,5,0,0,0,0,382,93,0,0,5,20,10,90,,,,33,3,4,26,13,20,0,1,27,774,5.62,331,81,37858.06,,,,,,,,0.0,403.0,1223.0,0.0,False
482869,285023_43843,Jaouen Hadjam,Algeria,DF,0,1,0,0,1,0,0.02,0.0,0,0,8,19,5,0,0,0,0,0,0,67,84,0,0,1,0,0,0,,,,34,19,11,4,16,18,0,10,26,147,5.14,158,77,13663.53,,,,,,,,0.0,125.0,861.0,0.0,False
433600,285023_43843,Mohamed Amine Tougai,Algeria,DF,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,261.0,0.0,False
511009,285023_43843,Rafik Belghali,Algeria,DF,1,3,33,2,1,0,0.28,3.6,0,0,10,64,10,4,2,0,0,0,0,183,92,5,40,3,67,0,0,,,,97,54,27,16,42,55,7,31,83,406,6.27,480,170,38083.65,,,,,,,,1.0,362.0,153.0,0.0,False
395113,285023_43843,Ramy Bensebaini,Algeria,DF,0,2,0,1,1,1,0.04,0.0,0,0,7,36,11,1,5,0,0,0,0,385,93,0,0,8,38,1,100,,,,76,1,1,74,37,39,0,1,69,814,5.3,301,122,35700.14,313.0,67.0,316.0,4.425076007843018,6.237029552459717,5.059248447418213,,0.0,403.0,1223.0,0.0,True
431858,285023_43843,Rayan Ait Nouri,Algeria,DF,0,1,0,1,0,0,0.02,0.0,0,0,12,70,25,6,4,0,0,0,0,211,90,9,0,7,57,0,0,,,,129,42,52,35,39,90,4,51,83,451,5.89,355,157,32073.2,,,,,,,,0.0,315.0,1174.0,0.0,False
511010,285023_43843,Samir Chergui,Algeria,DF,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0,24,96,0,0,0,0,0,0,,,,13,1,2,10,2,11,0,3,2,47,1.52,20,6,2625.06,,,,,,,,0.0,25.0,601.0,0.0,False
480983,285023_43843,Zineddine Belaid,Algeria,DF,0,0,0,0,0,0,0.0,0.0,0,0,0,2,2,0,0,0,0,0,1,44,98,0,0,1,100,0,0,,,,7,0,0,7,5,2,0,1,2,89,3.1,37,12,3781.0,,,,,,,,0.0,38.0,638.0,0.0,False
512132,285023_43843,Adil Boulbina,Algeria,FW,0,0,0,0,0,0,0.0,0.0,0,0,1,13,0,0,0,0,0,0,1,19,84,0,0,1,100,1,100,,,,46,20,19,7,13,33,2,6,20,42,3.53,54,21,3442.77,,,,,,,,0.0,28.0,608.0,0.0,False
