player_id,team_id,player_name,team,position,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,total_competition_minutes_played,fdcp_top_scorer_rank,assists,is_active,global_rank_x,global_score_x,fdh_tier_x,fdh_tier_multiplier_x,final_multiplier_x,total_distance_km_x,avg_speed_kmh,minutes,goals_p90,assists_p90,xg_p90,attempt_at_goal_p90,attempt_on_target_p90,attempt_inside_box_p90,corners_p90,crosses_p90,passes_p90,linebreaks_p90,switches_p90,involvements_p90,forced_turnovers_p90,pressures_p90,direct_pressures_p90,fouls_drawn_p90,fouls_committed_p90,receptions_pressure_p90,offers_in_behind_p90,receptions_in_behind_p90,sprints_p90,speed_runs_p90,distance_p90,total_distance_km_y,global_rank_y,global_score_y,fdh_tier_y,fdh_tier_multiplier_y,final_multiplier_y,attacking_threat,chance_creation,ball_progression,defensive_actions,possession_security,physical_impact,global_rank_y,global_score_y,fdh_tier_y,fdh_tier_multiplier_y,final_multiplier_y,shoot,offense,dribble,pass,speed,defense,grade_shoot,grade_offense,grade_dribble,grade_pass,grade_speed,grade_defense,overall_score,overall_grade,ego_x,ego_y,blue_lock_rank,blue_lock_score,blue_lock_tier,blue_lock_multiplier,blue_lock_final_score
376285,285023_43843,Aissa Mandi,Algeria,DF,0,0,0,0,0,0,0.0,0.0,0,0,14,19,6,0,5,0,0,0,0,382,93,0,0,5,20,10,90,,,,33,3,4,26,13,20,0,1,27,774,5.62,331,81,37858.06,,,,,,,Round of 16,0.0,403.0,1223.0,0.0,False,,,None,1.0,1.0,37.858059999999995,5.62,403.0,0.01954428385659288,0.01493183286643696,0.01750307885061032,0.17535131476135132,0.05941462292404237,0.10725902980498174,0.06488702240388837,0.2412546399257825,68.97652916248052,1.0845687724668134,1.7087523944077252,141.1172344496015,2.8826428872733585,6.731086105604111,1.5958038064133797,0.1608103675720462,0.969961091931753,6.96910073758389,1.8207715431253348,0.14181332366343796,19.53466806893544,71.893969561367,7.752027010052654,37.858059999999995,,,None,1.0,1.0,33.338285558339955,39.26343726363293,85.40635283891396,53.87621769178046,54.683314153332894,62.07971416265465,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
482869,285023_43843,Jaouen Hadjam,Algeria,DF,0,1,0,0,1,0,0.02,0.0,0,0,8,19,5,0,0,0,0,0,0,67,84,0,0,1,0,0,0,,,,34,19,11,4,16,18,0,10,26,147,5.14,158,77,13663.53,,,,,,,Round of 16,0.0,125.0,861.0,0.0,False,,,None,1.0,1.0,13.663530000000002,5.14,125.0,0.024959202488771443,0.019068830701421378,0.026538509892472053,0.43323629031065275,0.07587597556586519,0.1369761032583777,0.08286455226272119,0.3080963955213947,22.15686088418437,0.5478489481390911,0.08915427128989158,48.98246816315061,2.425490925943273,8.59599370904842,1.8286331970951186,0.20536431807761138,0.1921858591635401,8.690650097864724,5.674069792092925,0.1811039732585256,24.109713258821383,55.603534469583046,4.83582402627064,13.663530000000002,,,None,1.0,1.0,50.51474832805587,48.69219807468096,53.980101394428544,49.208647697825256,47.91289158736956,45.581619879693896,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
511009,285023_43843,Rafik Belghali,Algeria,DF,1,3,33,2,1,0,0.28,3.6,0,0,10,64,10,4,2,0,0,0,0,183,92,5,40,3,67,0,0,,,,97,54,27,16,42,55,7,31,83,406,6.27,480,170,38083.65,,,,,,,Round of 16,1.0,362.0,153.0,0.0,False,,,None,1.0,1.0,38.08365,6.27,362.0,0.18962704425869928,0.015435594709759639,0.06553213610911074,0.6895373783345857,0.23084250657271718,0.44972444761117036,0.06707614455026441,1.0965108856239607,37.588366939330996,0.7823125758571199,0.07216746636552544,83.53036279921842,2.302202339064075,14.582228113577722,2.327335689612427,0.8439292430463989,0.49441493910068385,16.691929999245737,10.522792416560698,1.3325614462581443,35.27239917461826,99.56357273312776,8.05178079237468,38.08365,,,None,1.0,1.0,78.35632892985458,66.69653071298751,85.11744842026286,69.97092042375478,90.80818305004316,90.6040119563948,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
395113,285023_43843,Ramy Bensebaini,Algeria,DF,0,2,0,1,1,1,0.04,0.0,0,0,7,36,11,1,5,0,0,0,0,385,93,0,0,8,38,1,100,,,,76,1,1,74,37,39,0,1,69,814,5.3,301,122,35700.14,313.0,67.0,316.0,4.425076007843018,6.237029552459717,5.059248447418213,Round of 16,0.0,403.0,1223.0,0.0,True,276.84999999999997,4.855412149429322,C,1.0,1.0,35.70014,5.3,403.0,0.01954428385659288,0.01493183286643696,0.02405883970049822,0.5031393572557464,0.05941462292404237,0.27115305105217924,0.06488702240388837,0.2412546399257825,69.46821122622211,1.5762508362084062,0.2337062031829473,147.67299529948943,1.735384738542976,9.51728446680647,2.415273912649367,0.32470438881924374,0.969961091931753,13.852649629966185,1.49298350063094,0.14181332366343796,26.254322940070537,66.97714892395108,7.3983568237229,35.70014,276.84999999999997,4.855412149429322,C,1.0,1.0,42.8749962509391,46.38948234035608,92.21795455753248,53.66056716112033,75.2039145720897,67.96555326383348,276.84999999999997,4.855412149429322,C,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
431858,285023_43843,Rayan Ait Nouri,Algeria,DF,0,1,0,1,0,0,0.02,0.0,0,0,12,70,25,6,4,0,0,0,0,211,90,9,0,7,57,0,0,,,,129,42,52,35,39,90,4,51,83,451,5.89,355,157,32073.2,,,,,,,Round of 16,0.0,315.0,1174.0,0.0,False,,,None,1.0,1.0,32.0732,5.89,315.0,0.021033638788408342,0.016069700034343975,0.02236455396809976,0.36509722794723903,0.06394226191676138,0.29181603040842435,0.0698316807775157,1.8470900238428671,44.07125984945326,1.5199842216894464,0.0751321577521946,94.89910407134546,2.7495453072724567,16.239577049483067,5.068695623514548,1.23136530437686,0.8674927016213017,17.37764648047845,8.838475243147775,0.8581537659992484,34.42843021418504,81.60578826736796,7.322410003147965,32.0732,,,None,1.0,1.0,55.29107257658625,65.31353767136537,91.43131137220877,78.96325255585174,90.65271314910916,81.04252639611244,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
511010,285023_43843,Samir Chergui,Algeria,DF,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0,24,96,0,0,0,0,0,0,,,,13,1,2,10,2,11,0,3,2,47,1.52,20,6,2625.06,,,,,,,Round of 16,0.0,25.0,601.0,0.0,False,,,None,1.0,1.0,2.62506,1.52,25.0,0.020868263977827994,0.015943353679060586,0.018688782487983634,0.18723006440907278,0.06343952249259711,0.11452503271032004,0.06928263640638894,0.25759785054230877,11.000385375864367,0.28305713259525894,0.0745414389288016,23.45433344823236,0.6279677996208,4.562117848208864,0.6539279200092182,0.17170407600956875,0.16068563262927557,3.0662899610621444,1.5941220478742855,0.15142012342311992,7.733249967495618,22.340302044039987,2.1115132187851287,2.62506,,,None,1.0,1.0,17.4130675685535,15.67491064158614,35.861125913162596,14.386068187733775,46.226507071691636,14.787164982033863,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
480983,285023_43843,Zineddine Belaid,Algeria,DF,0,0,0,0,0,0,0.0,0.0,0,0,0,2,2,0,0,0,0,0,1,44,98,0,0,1,100,0,0,,,,7,0,0,7,5,2,0,1,2,89,3.1,37,12,3781.0,,,,,,,Round of 16,0.0,38.0,638.0,0.0,False,,,None,1.0,1.0,3.781,3.1,38.0,0.02311511116952537,0.017659944933517382,0.02070096895898014,0.20738877741298162,0.07026993795535715,0.12685573009835524,0.07674216908282423,0.28533293227662115,16.061540132836075,0.5073715534797109,0.08256717709754462,34.12082172691818,0.6955799253133574,4.665636225518937,1.1120114947607844,0.19019113470285476,0.17798635600534538,3.396431701422638,1.5719200199724033,0.1677232466460761,9.72890373006742,28.040889992837517,2.562921234318331,3.781,,,None,1.0,1.0,30.46297816644334,32.781279792423184,49.39936495051531,22.1670630668832,49.53228812313014,22.423129517704055,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
512132,285023_43843,Adil Boulbina,Algeria,FW,0,0,0,0,0,0,0.0,0.0,0,0,1,13,0,0,0,0,0,0,1,19,84,0,0,1,100,1,100,,,,46,20,19,7,13,33,2,6,20,42,3.53,54,21,3442.77,,,,,,,Round of 16,0.0,28.0,608.0,0.0,False,,,None,1.0,1.0,3.44277,3.53,28.0,0.021523414337568627,0.01644388855390243,0.019275508944152957,0.19310807343666572,0.06543117958620864,0.11812049788457664,0.07145773560072785,0.26568502658294707,10.443284994093359,0.4724341617286674,0.25737220566768176,23.28821952170612,0.8281731539000019,6.329758743783026,0.6744577116820505,0.17709465316951464,0.16573029039927845,6.411385096913015,5.07348966168975,0.5171550337411711,10.683390638481349,29.178345787210937,2.325392230820362,3.44277,,,None,1.0,1.0,26.018151648905185,29.010819023363084,32.037773331797844,18.707469537283515,34.48171069587141,18.642456749876384,,,None,1.0,1.0,35.34901082493467,38.38439476533268,37.73465922871696,48.004324141000914,13.316996452214624,13.543256637835185,C,C,D,C,E,E,32.054056459761,D,40.26178444205119,38.54440119489454,,,None,1.0,36.0076494890266
405877,285023_43843,Amine Gouiri,Algeria,FW,2,3,33,2,1,0,0.62,1.61,0,0,7,126,12,1,1,0,0,0,0,58,88,1,0,0,0,0,0,,,,188,69,107,12,139,49,3,40,40,137,6.17,355,131,27787.87,95.0,356.0,352.0,5.377669334411621,4.418607234954834,4.666876792907715,Round of 16,1.0,270.0,127.0,0.0,True,198.4,5.056111884117127,C,1.0,1.0,27.787869999999998,6.17,270.0,0.20561926696561036,0.016737357700250224,0.1335207862096221,0.7476896074228709,0.4340223716383677,0.4876520203951904,0.07273302037281512,0.45413835826356663,17.79442066635125,0.2971538217882121,0.07825371950954686,41.1564518070723,1.9452236960029616,27.202149619432856,2.891035324650202,0.3639669390302814,0.35239975988665295,10.200041777689023,14.165909514515272,0.7100962752060784,31.08234428447056,84.99631391517633,6.839373263693148,27.787869999999998,198.4,5.056111884117127,C,1.0,1.0,85.83585500942698,51.553308613189465,60.85508512414965,69.18207313222669,62.90130651131448,75.74126723287381,198.4,5.056111884117127,C,1.0,1.0,74.0388204553938,59.69534084218123,64.97210768857627,41.91661190834516,83.08401302073808,73.10946539280532,A,B,B,D,A,A,59.80192051434445,A,66.89856010354312,35.08217446270543,198.2,5.06852536201477,BL-C,1.0,66.32941731940075
482874,285023_43843,Anis Hadj Moussa,Algeria,FW,1,2,0,2,0,0,0.15,0.0,5,0,3,34,1,0,2,0,0,0,0,36,69,4,50,5,60,1,100,,,,50,24,22,4,15,35,2,20,27,95,4.9,151,60,12312.89,,,,,,,Round of 16,0.0,114.0,842.0,0.0,False,,,None,1.0,1.0,12.31289,4.9,114.0,0.025120970646726772,0.019192421574099255,0.054096168083212014,0.6467031034534911,0.28702662817157865,0.5591816417202949,1.136696009574779,1.1527287712853123,15.770041017071783,1.3940352328798478,0.3003909845556373,38.3456767637413,1.38791688091789,11.81159011131901,0.9978496135913594,0.2066953464812679,0.6147492287908546,8.957635713209832,6.76413954559271,0.6035955178237078,20.684774703652472,54.489305691395366,4.582642161633101,12.31289,,,None,1.0,1.0,72.68115771135541,81.45304381153328,51.70685231554709,46.21041387342009,44.93717813610781,45.623611590869835,,,None,1.0,1.0,42.441209406494956,40.435715778077444,48.41862721319428,61.86701146745235,46.58205625251454,36.04311530706466,C,C,C,A,C,D,38.97072643832759,C,48.36139779105558,55.951100244498775,,,None,1.0,43.56591274261826
