player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
201200,285023_43963,Cristiano Ronaldo,Portugal,FW,0,9,18,17,15,3,0,2.94,1.02x,0,0,7,72,6,2,5,0,0,0,6,99,87,1,0,4,25,0,0,,,,187,92,81,14,147,40,8,65,69,239,5.07,330,153,41504.05,57.0,355.0,336.0,5.75513219833374,4.367355823516846,4.909419059753418,Round of 16,3.0,0.0,490.0,24.0
215285,285023_43911,Guillermo Ochoa,Mexico,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,9,44,0,0,2,50,0,0,0.0,3.0,3.0,2,0,0,2,1,1,0,0,0,14,0.74,5,0,1147.02,,,,,,,,0.0,0.0,18.0,567.0
215553,285023_43967,Craig Gordon,Scotland,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
228686,285023_43926,David Ospina,Colombia,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
228912,285023_43948,Manuel Neuer,Germany,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,2,0,0,0,0,129,91,0,0,1,0,0,0,7.0,61.0,45.0,28,0,0,28,19,9,0,0,5,256,3.47,82,19,25681.69,,,,,,,Round of 16,0.0,0.0,442.0,1261.0
229397,285023_43922,Lionel Messi,Argentina,FW,0,16,24,29,12,12,0,4.57,1.53x,14,0,10,77,14,2,11,0,0,0,2,147,78,14,43,15,87,3,67,,,,122,22,70,30,86,36,3,77,87,381,4.56,231,96,27595.27,3.0,333.0,36.0,8.068192481994629,4.7371826171875,6.655566692352295,Round of 16,7.0,0.0,361.0,2.0
229498,285023_43930,Fernando Muslera,Uruguay,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,71,80,0,0,1,0,0,0,4.0,41.0,34.0,28,0,0,28,19,9,0,0,0,144,2.5,22,7,11069.12,,,,,,,,0.0,0.0,261.0,1058.0
241559,285023_43938,Luka Modric,Croatia,MF,1,0,1,0,1,0,1,0.05,0x,7,0,16,48,12,4,3,1,0,0,0,248,91,9,44,9,44,2,100,,,,141,14,47,80,114,27,1,13,50,509,6.08,401,122,36541.56,,,,,,,,0.0,1.0,360.0,240.0
261367,285023_43978,Michael Boxall,New Zealand,DF,0,0,0,0,0,0,0,0.0,0x,0,0,4,21,12,2,2,0,0,0,0,115,90,1,100,0,0,0,0,,,,26,0,0,26,9,17,0,3,18,240,5.59,181,75,22180.78,,,,,,,,0.0,0.0,237.0,1029.0
267702,285023_43914,Luis Mejia,Panama,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
269058,285023_43926,James Rodriguez,Colombia,MF,0,3,6,0,2,4,0,0.24,0x,7,0,6,92,4,0,3,0,0,0,0,208,86,13,38,12,58,9,67,,,,134,19,74,41,65,69,3,43,59,446,5.93,270,42,26755.98,,,,,,,,0.0,0.0,270.0,1072.0
269514,285023_43914,Anibal Godoy,Panama,MF,0,0,0,0,0,0,0,0.0,0x,0,0,0,2,1,0,1,0,0,0,0,8,100,1,0,1,100,1,0,,,,4,1,2,1,1,3,0,1,3,18,2.1,18,4,1239.04,,,,,,,,0.0,0.0,11.0,532.0
269592,285023_43978,Kosta Barbarouses,New Zealand,FW,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
271116,285023_43914,Alberto Quintero,Panama,MF,0,0,0,0,0,0,0,0.0,0x,0,0,0,1,0,1,0,0,0,0,0,3,100,1,0,0,0,0,0,,,,5,2,2,1,3,2,0,2,1,8,2.86,17,8,1246.31,,,,,,,,0.0,0.0,8.0,525.0
274078,285023_43978,Chris Wood,New Zealand,FW,2,2,5,0,3,2,2,0.47,0x,0,0,8,88,5,2,1,0,0,0,4,47,77,0,0,8,13,0,0,,,,108,48,59,1,77,31,0,54,55,119,6.11,333,144,31195.3,,,,,,,,0.0,2.0,306.0,179.0
274281,285023_43822,Kim Seunggyu,Korea Republic,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,116,73,0,0,9,11,2,50,11.0,42.0,34.0,38,0,0,38,27,11,0,0,7,230,3.14,37,14,15687.05,,,,,,,,0.0,0.0,300.0,1109.0
275917,285023_43908,Ricardo Ade,Haiti,DF,0,1,4,0,2,2,2,0.17,0x,0,0,3,24,5,6,4,0,0,0,0,136,89,0,0,5,40,1,100,,,,13,1,0,12,10,3,0,2,22,293,5.64,310,95,28826.94,,,,,,,,0.0,0.0,306.0,1139.0
284190,285023_43834,Hassan Alhaydos,Qatar,FW,0,1,1,100,1,0,0,0.66,1.51x,0,0,8,46,1,1,1,0,0,0,0,14,71,0,0,1,0,0,0,,,,21,10,10,1,11,10,0,7,16,31,4.75,147,43,8290.41,,,,,,,,1.0,0.0,69.0,89.0
288961,285023_43817,Ehsan Hajisafi,IR Iran,DF,0,0,1,0,0,1,0,0.08,0x,0,0,1,27,2,2,1,1,0,0,0,20,55,2,0,2,0,1,100,,,,15,1,8,6,3,12,1,2,7,47,4.41,134,48,11464.24,,,,,,,,0.0,0.0,104.0,823.0
290821,285023_43935,Axel Witsel,Belgium,MF,0,0,0,0,0,0,0,0.0,0x,0,0,0,5,0,0,0,0,0,0,0,4,100,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,1,9,1.75,17,6,809.95,,,,,,,,0.0,0.0,5.0,516.0
295922,285023_43908,Johny Placide,Haiti,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,1,0,0,0,105,64,0,0,2,0,0,0,13.0,56.0,48.0,12,0,0,12,9,3,0,0,2,187,2.51,16,4,12868.53,,,,,,,,0.0,0.0,306.0,1139.0
297266,285023_43850,Stopira,Cabo Verde,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
299200,285023_43934,Marko Arnautovic,Austria,FW,0,3,3,67,3,0,0,1.31,1.53x,0,0,5,35,1,3,1,1,0,0,5,32,78,1,0,0,0,0,0,,,,25,17,8,0,19,6,5,25,30,75,5.44,156,57,15762.88,37.0,356.0,324.0,6.047736167907715,4.324283599853516,5.06585168838501,Round of 16,2.0,0.0,173.0,41.0
300409,285023_44037,Edin Dzeko,Bosnia and Herzegovina,FW,0,0,3,0,3,0,0,0.2,0x,0,0,4,69,1,1,2,1,0,0,0,48,69,2,50,3,67,1,100,,,,55,16,33,6,40,15,4,22,36,111,4.56,201,57,19815.85,,,,,,,,0.0,0.0,196.0,973.0
306538,285023_43948,Oliver Baumann,Germany,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
307849,285023_43822,Son Heungmin,Korea Republic,FW,0,1,7,0,4,3,0,0.81,0x,3,0,9,54,0,0,4,0,0,0,2,58,84,3,33,2,50,0,0,,,,97,51,34,12,70,27,6,35,50,142,6.14,169,96,18757.38,,,,,,,,0.0,0.0,183.0,962.0
