player_id,team_id,player_name,team,position,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,source_tab,story_id,classification
430601,285023_43924,Gabriel Magalhaes,Brazil,DF,44,0,2,42,22,22,0,1,19,802,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
401378,285023_43948,Jonathan Tah,Germany,DF,52,2,1,49,37,15,0,4,59,794,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
386413,285023_43948,Joshua Kimmich,Germany,DF,100,6,21,73,45,55,1,10,73,778,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
489517,285023_43960,Jan Paul Van Hecke,Netherlands,DF,43,2,3,38,13,30,0,5,48,739,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
332946,285023_43924,Marquinhos,Brazil,DF,54,2,1,51,28,26,0,3,26,738,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
397786,285023_43960,Virgil Van Dijk,Netherlands,DF,35,0,1,34,17,18,1,4,40,718,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
411375,285023_43969,Rodri,Spain,MF,160,3,41,116,111,49,1,19,136,712,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
400721,285023_43872,Achraf Hakimi,Morocco,DF,200,60,94,46,78,122,11,72,111,706,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
485740,285023_43872,Neil El Aynaoui,Morocco,MF,261,34,74,153,188,73,1,20,126,691,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
395113,285023_43843,Ramy Bensebaini,Algeria,DF,64,0,1,63,30,34,0,1,54,644,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
376285,285023_43843,Aissa Mandi,Algeria,DF,24,3,3,18,8,16,0,0,20,628,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
335999,285023_43969,Aymeric Laporte,Spain,DF,69,4,2,63,31,38,0,2,31,621,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
474973,285023_43969,Pau Cubarsi,Spain,DF,83,0,0,83,50,33,0,2,46,618,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
430669,285023_43948,Florian Wirtz,Germany,MF,218,71,100,47,96,122,4,117,99,599,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
506039,285023_43883,Ime Okon,South Africa,DF,52,1,2,49,14,38,0,3,46,582,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
441149,285023_43963,Vitinha,Portugal,MF,132,5,47,80,98,34,0,8,55,579,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
484849,285023_43948,Aleksandar Pavlovic,Germany,MF,158,4,54,100,119,39,0,20,67,548,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
403049,285023_43942,Ezri Konsa,England,DF,76,1,3,72,48,28,0,1,31,533,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
405178,285023_43971,Manuel Akanji,Switzerland,DF,41,0,1,40,18,23,1,3,48,525,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
422657,285023_43960,Frenkie De Jong,Netherlands,MF,143,2,32,109,106,37,0,8,69,519,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
389876,285023_43946,Dayot Upamecano,France,DF,47,1,1,45,23,24,0,3,40,516,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
484082,285023_43972,Abdulkerim Bardakci,Türkiye,DF,25,2,1,22,11,14,1,2,24,516,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
379955,285023_43948,Antonio Ruediger,Germany,DF,11,0,1,10,5,6,0,2,19,514,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
311558,285023_43971,Granit Xhaka,Switzerland,MF,147,1,51,95,103,44,0,18,49,508,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
335656,285023_43924,Danilo,Brazil,DF,170,38,34,98,31,139,4,18,39,504,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
492315,285023_43822,Lee Gihyuk,Korea Republic,MF,70,0,7,63,21,49,0,2,71,500,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
424036,285023_43927,Pedro Vite,Ecuador,MF,239,11,102,126,143,96,1,24,69,499,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
448171,285023_43938,Josip Sutalo,Croatia,DF,32,0,0,32,16,16,0,2,41,498,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
428885,285023_43927,Moises Caicedo,Ecuador,MF,133,7,54,72,103,30,0,22,55,497,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
485655,285023_43946,Michael Olise,France,FW,129,23,75,31,89,40,2,36,74,494,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
423646,285023_43969,Pedri,Spain,MF,180,25,61,94,131,49,5,32,78,486,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
367981,285023_43924,Douglas Santos,Brazil,DF,68,23,23,22,22,46,7,40,72,484,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
398509,285023_43971,Nico Elvedi,Switzerland,DF,27,1,7,19,10,17,0,2,45,482,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
402893,285023_43930,Mathias Olivera,Uruguay,DF,36,8,8,20,14,22,1,10,40,480,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
433635,285023_43899,Stephen Eustaquio,Canada,MF,154,18,46,90,87,67,1,27,88,477,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
332314,285023_43879,Idrissa Gana Gueye,Senegal,MF,92,6,39,47,62,30,2,9,75,475,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
504199,285023_43883,Mbekezeli Mbokazi,South Africa,DF,29,5,6,18,13,16,0,4,29,466,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
448607,285023_43872,Chadi Riad,Morocco,DF,77,0,3,74,48,29,0,2,22,464,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
