player_id,team_id,player_name,team,position,goals,assists,total_competition_minutes_played,fdcp_top_scorer_rank,source_tab,story_id,classification
485655,285023_43946,Michael Olise,France,FW,0,5,437,167,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430740,285023_43872,Brahim Diaz,Morocco,FW,0,4,422,168,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430605,285023_43924,Bruno Guimaraes,Brazil,MF,0,4,458,169,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430150,285023_43970,Alexander Isak,Sweden,FW,1,3,389,51,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
448196,285023_43942,Bukayo Saka,England,FW,0,3,220,170,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
494626,285023_43961,Andreas Schjelderup,Norway,MF,0,3,225,171,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
400716,285023_43961,Martin Odegaard,Norway,MF,0,3,399,172,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430669,285023_43948,Florian Wirtz,Germany,MF,0,3,405,173,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
403585,285023_43911,Roberto Alvarado,Mexico,FW,0,3,476,174,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
389867,285023_43946,Kylian Mbappe,France,FW,7,2,482,1,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
398680,285023_43946,Ousmane Dembele,France,FW,4,2,391,5,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
484851,285023_43948,Deniz Undav,Germany,FW,3,2,174,11,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
502727,285023_43971,Johan Manzambi,Switzerland,MF,3,2,220,12,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
489518,285023_43960,Crysencio Summerville,Netherlands,FW,2,2,282,25,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
393480,285023_43971,Breel Embolo,Switzerland,FW,2,2,369,26,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
448355,285023_43935,Leandro Trossard,Belgium,FW,2,2,496,27,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
448815,285023_43879,Iliman Ndiaye,Senegal,FW,1,2,134,52,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
