player_id,team_id,player_name,team,position,assists,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,source_tab,story_id,classification
430605,285023_43924,Bruno Guimaraes,Brazil,MF,3,0,2,0,0,2,0,0.02,0x,3,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
485655,285023_43946,Michael Olise,France,FW,3,2,8,0,5,3,0,0.57,0x,7,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430150,285023_43970,Alexander Isak,Sweden,FW,3,5,6,17,4,2,1,0.45,2.24x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
483327,285023_43970,Viktor Gyokeres,Sweden,FW,2,5,11,9,8,3,0,1.17,0.85x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
393480,285023_43971,Breel Embolo,Switzerland,FW,2,3,7,14,6,1,1,1.95,0.51x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
274078,285023_43978,Chris Wood,New Zealand,FW,2,2,5,0,3,2,2,0.47,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430669,285023_43948,Florian Wirtz,Germany,MF,2,1,8,0,5,3,0,0.9,0x,3,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
484851,285023_43948,Deniz Undav,Germany,FW,2,4,5,60,4,1,0,1.4,2.14x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
386413,285023_43948,Joshua Kimmich,Germany,DF,2,0,0,0,0,0,0,0.0,0x,7,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
400716,285023_43961,Martin Odegaard,Norway,MF,2,1,4,0,2,2,0,0.3,0x,4,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
436612,285023_43960,Denzel Dumfries,Netherlands,DF,2,2,4,0,3,1,1,0.4,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
389867,285023_43946,Kylian Mbappe,France,FW,2,9,16,25,11,5,0,1.58,2.52x,3,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430176,285023_43960,Ryan Gravenberch,Netherlands,MF,2,0,3,0,1,2,0,0.22,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
403585,285023_43911,Roberto Alvarado,Mexico,FW,2,0,2,0,1,1,0,0.1,0x,3,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
441234,285023_43928,Julio Enciso,Paraguay,FW,2,0,5,0,3,2,0,0.41,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
433378,285023_43888,Hannibal Mejbri,Tunisia,MF,2,1,3,0,0,3,0,0.06,0x,4,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430740,285023_43872,Brahim Diaz,Morocco,FW,2,1,5,0,4,1,0,0.29,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
448815,285023_43879,Iliman Ndiaye,Senegal,FW,2,2,2,50,1,1,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
423941,285023_43899,Nathan Saliba,Canada,MF,2,1,3,33,1,2,1,0.3,3.36x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
344654,285023_43855,Mohamed Salah,Egypt,FW,2,3,6,17,4,2,1,0.76,1.31x,6,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
408950,285023_43855,Mohamed Hany,Egypt,DF,1,0,3,0,0,3,0,0.07,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
486213,285023_43860,Brandon Thomas Asante,Ghana,FW,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
