player_id,team_id,player_name,team,position,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,source_tab,story_id,classification
385306,285023_43928,Andres Cubas,Paraguay,MF,0,43,231,57,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
441257,285023_43899,Jonathan David,Canada,FW,0,45,227,21,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
353235,285023_43860,Jordan Ayew,Ghana,FW,0,23,212,19,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
441234,285023_43928,Julio Enciso,Paraguay,FW,0,20,209,17,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
424422,285023_43928,Matias Galarza,Paraguay,MF,0,42,197,61,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
431230,285023_43820,Noor Alrawabdeh,Jordan,MF,0,20,182,22,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
448598,285023_43872,Ismael Saibari,Morocco,MF,0,32,181,17,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
430452,285023_43976,Connor Metcalfe,Australia,MF,0,28,180,11,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
430413,285023_43819,Ayase Ueda,Japan,FW,0,11,173,9,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
395206,285023_43963,Bruno Fernandes,Portugal,MF,0,19,166,17,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
401889,285023_43879,Ismaila Sarr,Senegal,FW,0,18,157,11,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
479601,285023_43928,Juan Jose Caceres,Paraguay,DF,0,17,154,41,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
485655,285023_43946,Michael Olise,France,FW,0,26,154,14,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
431212,285023_43820,Ali Olwan,Jordan,FW,0,11,154,7,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
494291,285023_43843,Ibrahim Maza,Algeria,MF,0,25,153,14,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
441307,285023_43872,Azzedine Ounahi,Morocco,MF,0,18,153,13,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
405454,285023_43978,Elijah Just,New Zealand,MF,0,19,152,18,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
369419,285023_43942,Harry Kane,England,FW,0,18,152,12,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
485066,285023_43938,Petar Sucic,Croatia,MF,0,11,152,25,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
423646,285023_43969,Pedri,Spain,MF,0,39,151,21,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
419291,285023_43835,Feras Albrikan,Saudi Arabia,FW,0,11,150,11,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
398680,285023_43946,Ousmane Dembele,France,FW,0,18,150,6,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
385259,285023_43934,Konrad Laimer,Austria,MF,0,19,149,32,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
433534,285023_43820,Nizar Alrashdan,Jordan,MF,0,15,149,17,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
402920,285023_43922,Lautaro Martinez,Argentina,FW,0,21,149,17,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
466317,285023_1895293,Juninho Bacuna,Curaçao,MF,0,16,148,21,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
484141,285023_43963,Joao Neves,Portugal,MF,0,17,148,24,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
463128,285023_43928,Diego Gomez,Paraguay,MF,0,23,147,37,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
520036,285023_43934,Paul Wanner,Austria,MF,0,18,146,20,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
429157,285023_43911,Julian Quinones,Mexico,FW,0,11,145,7,defense,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1,urn:gd:story:classification:gcp_defending:competitionId:285023:defensive_pressures_applied:rank_asc:page:1
