player_id,team_id,player_name,team,position,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,source_tab,story_id,classification
385306,285023_43928,Andres Cubas,Paraguay,MF,11,2,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
484849,285023_43948,Aleksandar Pavlovic,Germany,MF,8,4,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
475260,285023_44005,Behruzjon Karimov,Uzbekistan,DF,8,4,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
436743,285023_44037,Ermedin Demirovic,Bosnia and Herzegovina,FW,8,2,1,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
479601,285023_43928,Juan Jose Caceres,Paraguay,DF,7,3,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
419473,285023_43834,Jassem Gaber,Qatar,DF,7,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
403274,285023_43819,Hiroki Ito,Japan,DF,7,0,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
423874,285023_43822,Lee Hanbeom,Korea Republic,DF,7,3,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
489300,285023_43908,Martin Experience,Haiti,DF,7,6,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
275917,285023_43908,Ricardo Ade,Haiti,DF,6,4,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
353235,285023_43860,Jordan Ayew,Ghana,FW,6,5,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
485740,285023_43872,Neil El Aynaoui,Morocco,MF,6,6,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:1
