player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
45191,285023_43820,Mohammad Aldaoud,Jordan,MF,0,0,0,0,0,0,0,0.0,0x,0,0,0,1,0,0,0,0,0,0,0,5,40,0,0,1,0,0,0,,,,7.0,3.0,2.0,2.0,0.0,7.0,0.0,1.0,4.0,9.0,3.22,28.0,7.0,1620.24,0.0,0.0,15.0,546.0
201200,285023_43963,Cristiano Ronaldo,Portugal,FW,0,5,10,20,10,0,0,1.61,1.24x,0,0,3,28,4,1,1,0,0,0,2,39,82,0,0,2,50,0,0,,,,85.0,48.0,32.0,5.0,66.0,19.0,4.0,27.0,30.0,99.0,4.99,122.0,69.0,16795.61,2.0,0.0,201.0,26.0
215285,285023_43911,Guillermo Ochoa,Mexico,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,9,44,0,0,2,50,0,0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,14.0,1.23,5.0,0.0,1147.02,0.0,0.0,18.0,561.0
215553,285023_43967,Craig Gordon,Scotland,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
228686,285023_43926,David Ospina,Colombia,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
228912,285023_43948,Manuel Neuer,Germany,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,1,0,0,0,0,91,88,0,0,1,0,0,0,3.0,50.0,36.0,21.0,0.0,0.0,21.0,14.0,7.0,0.0,0.0,4.0,171.0,3.45,53.0,9.0,17564.37,0.0,0.0,305.0,1237.0
229397,285023_43922,Lionel Messi,Argentina,FW,0,8,13,38,7,6,0,2.95,1.7x,3,0,4,44,10,1,5,0,0,0,2,80,74,4,50,6,83,1,0,,,,59.0,13.0,34.0,12.0,39.0,20.0,1.0,50.0,50.0,207.0,4.72,135.0,60.0,14713.2,5.0,0.0,187.0,1.0
229498,285023_43930,Fernando Muslera,Uruguay,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,57,88,0,0,0,0,0,0,4.0,31.0,25.0,25.0,0.0,0.0,25.0,17.0,8.0,0.0,0.0,0.0,115.0,2.59,20.0,7.0,9030.68,0.0,0.0,208.0,1118.0
241559,285023_43938,Luka Modric,Croatia,MF,0,0,1,0,1,0,1,0.05,0x,0,0,14,25,6,2,3,0,0,0,0,108,90,1,0,5,60,0,0,,,,59.0,11.0,13.0,35.0,49.0,10.0,1.0,6.0,12.0,218.0,6.09,165.0,53.0,14967.47,0.0,0.0,146.0,927.0
261367,285023_43978,Michael Boxall,New Zealand,DF,0,0,0,0,0,0,0,0.0,0x,0,0,4,15,10,1,2,0,0,0,0,100,89,1,100,0,0,0,0,,,,23.0,0.0,0.0,23.0,9.0,14.0,0.0,3.0,17.0,211.0,5.63,162.0,63.0,19295.86,0.0,0.0,205.0,1099.0
267702,285023_43914,Luis Mejia,Panama,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
269058,285023_43926,James Rodriguez,Colombia,MF,0,2,3,0,1,2,0,0.08,0x,4,0,4,40,0,0,2,0,0,0,0,104,83,10,40,6,33,5,80,,,,69.0,10.0,33.0,26.0,34.0,35.0,2.0,21.0,23.0,226.0,5.99,139.0,23.0,13892.45,0.0,0.0,139.0,914.0
269514,285023_43914,Anibal Godoy,Panama,MF,0,0,0,0,0,0,0,0.0,0x,0,0,0,2,1,0,1,0,0,0,0,8,100,1,0,1,100,1,0,,,,4.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,3.0,18.0,3.15,18.0,4.0,1239.04,0.0,0.0,11.0,519.0
269592,285023_43978,Kosta Barbarouses,New Zealand,FW,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
271116,285023_43914,Alberto Quintero,Panama,MF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
274078,285023_43978,Chris Wood,New Zealand,FW,2,2,5,0,3,2,2,0.47,0x,0,0,4,48,3,1,0,0,0,0,3,38,74,0,0,6,0,0,0,,,,83.0,33.0,49.0,1.0,58.0,25.0,0.0,47.0,45.0,100.0,6.02,202.0,87.0,20618.03,0.0,2.0,205.0,129.0
274281,285023_43822,Kim Seunggyu,Korea Republic,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,116,73,0,0,9,11,2,50,11.0,42.0,34.0,38.0,0.0,0.0,38.0,27.0,11.0,0.0,0.0,7.0,230.0,3.14,37.0,14.0,15687.05,0.0,0.0,300.0,1208.0
275917,285023_43908,Ricardo Ade,Haiti,DF,0,1,4,0,2,2,2,0.17,0x,0,0,3,24,5,6,4,0,0,0,0,136,89,0,0,5,40,1,100,,,,13.0,1.0,0.0,12.0,10.0,3.0,0.0,2.0,22.0,293.0,5.64,310.0,95.0,28826.94,0.0,0.0,306.0,1244.0
284190,285023_43834,Hassan Alhaydos,Qatar,FW,0,1,1,100,1,0,0,0.66,1.51x,0,0,8,46,1,1,1,0,0,0,0,14,71,0,0,1,0,0,0,,,,21.0,10.0,10.0,1.0,11.0,10.0,0.0,7.0,16.0,31.0,4.75,147.0,43.0,8290.41,1.0,0.0,69.0,65.0
288961,285023_43817,Ehsan Hajisafi,IR Iran,DF,0,0,1,0,0,1,0,0.08,0x,0,0,1,27,2,2,1,1,0,0,0,20,55,2,0,2,0,1,100,,,,15.0,1.0,8.0,6.0,3.0,12.0,1.0,2.0,7.0,47.0,6.62,134.0,48.0,11464.24,0.0,0.0,104.0,847.0
290821,285023_43935,Axel Witsel,Belgium,MF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
295922,285023_43908,Johny Placide,Haiti,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,1,0,0,0,105,64,0,0,2,0,0,0,13.0,56.0,48.0,12.0,0.0,0.0,12.0,9.0,3.0,0.0,0.0,2.0,187.0,2.51,16.0,4.0,12868.53,0.0,0.0,306.0,1244.0
297266,285023_43850,Stopira,Cabo Verde,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
299200,285023_43934,Marko Arnautovic,Austria,FW,0,2,2,50,2,0,0,0.94,1.07x,0,0,3,18,1,0,1,0,0,0,1,15,73,1,0,0,0,0,0,,,,15.0,9.0,6.0,0.0,10.0,5.0,3.0,11.0,15.0,39.0,5.4,89.0,28.0,7871.06,1.0,0.0,88.0,69.0
300409,285023_44037,Edin Dzeko,Bosnia and Herzegovina,FW,0,0,3,0,3,0,0,0.2,0x,0,0,4,61,1,1,2,1,0,0,0,33,67,2,50,3,67,1,100,,,,45.0,15.0,27.0,3.0,34.0,11.0,3.0,17.0,29.0,81.0,4.09,135.0,42.0,13811.96,0.0,0.0,135.0,905.0
306538,285023_43948,Oliver Baumann,Germany,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
307849,285023_43822,Son Heungmin,Korea Republic,FW,0,1,7,0,4,3,0,0.81,0x,3,0,9,54,0,0,4,0,0,0,2,58,84,3,33,2,50,0,0,,,,97.0,51.0,34.0,12.0,70.0,27.0,6.0,35.0,50.0,142.0,6.14,169.0,96.0,18757.38,0.0,0.0,183.0,1004.0
308300,285023_43922,Emiliano Martinez,Argentina,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,67,76,0,0,1,0,0,0,1.0,23.0,19.0,13.0,0.0,0.0,13.0,7.0,6.0,0.0,0.0,0.0,128.0,2.72,15.0,2.0,9272.47,0.0,0.0,204.0,1076.0
308322,285023_43922,Nicolas Tagliafico,Argentina,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,1,0,0,1,0,0,0,0,2,100,0,0,1,100,0,0,,,,3.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,3.3,22.0,7.0,1791.15,0.0,0.0,16.0,549.0
308370,285023_43924,Alisson,Brazil,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,86,85,0,0,1,0,1,100,11.0,47.0,41.0,14.0,0.0,0.0,14.0,9.0,5.0,0.0,0.0,0.0,172.0,3.13,5.0,0.0,16101.9,0.0,0.0,308.0,1253.0
308386,285023_43924,Casemiro,Brazil,MF,0,0,1,0,0,1,0,0.01,0x,0,0,13,50,14,4,4,1,0,0,0,110,89,1,100,4,50,0,0,,,,39.0,0.0,15.0,24.0,31.0,8.0,0.0,3.0,32.0,243.0,6.57,243.0,68.0,24374.14,0.0,0.0,221.0,1155.0
