player_id,team_id,player_name,team,position,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,source_tab,story_id,classification
489517,285023_43960,Jan Paul Van Hecke,Netherlands,DF,31,2,1,28,12,19,0,5,37,609,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
397786,285023_43960,Virgil Van Dijk,Netherlands,DF,28,0,1,27,13,15,1,3,36,594,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
401378,285023_43948,Jonathan Tah,Germany,DF,42,1,1,40,30,12,0,1,39,546,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
430601,285023_43924,Gabriel Magalhaes,Brazil,DF,34,0,2,32,16,18,0,1,18,528,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
405178,285023_43971,Manuel Akanji,Switzerland,DF,41,0,1,40,18,23,1,3,48,525,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
484082,285023_43972,Abdulkerim Bardakci,Türkiye,DF,25,2,1,22,11,14,1,2,24,516,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
311558,285023_43971,Granit Xhaka,Switzerland,MF,147,1,51,95,103,44,0,18,49,508,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
411375,285023_43969,Rodri,Spain,MF,94,3,19,72,66,28,1,16,88,505,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
332314,285023_43879,Idrissa Gana Gueye,Senegal,MF,53,3,20,30,39,14,0,5,60,504,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
332946,285023_43924,Marquinhos,Brazil,DF,39,1,0,38,19,20,0,3,21,501,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
492315,285023_43822,Lee Gihyuk,Korea Republic,MF,70,0,7,63,21,49,0,2,71,500,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
424036,285023_43927,Pedro Vite,Ecuador,MF,239,11,102,126,143,96,1,24,69,499,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
428885,285023_43927,Moises Caicedo,Ecuador,MF,133,7,54,72,103,30,0,22,55,497,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
400721,285023_43872,Achraf Hakimi,Morocco,DF,154,37,80,37,60,94,7,53,92,482,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
398509,285023_43971,Nico Elvedi,Switzerland,DF,27,1,7,19,10,17,0,2,45,482,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
430690,285023_43879,Moussa Niakhate,Senegal,DF,25,1,0,24,17,8,0,2,31,465,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
441149,285023_43963,Vitinha,Portugal,MF,106,4,38,64,80,26,0,3,50,464,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:1
