player_id,team_id,player_name,team,position,avg_speed,speed_runs,sprints,total_distance,source_tab,story_id,classification
419068,285023_43921,Giovanni Reyna,USA,MF,8.24,201,50,12455.5,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
494025,285023_43935,Matias Fernandez Pardo,Belgium,FW,8.22,37,20,2497.05,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
416652,285023_43978,Jesse Randall,New Zealand,FW,8.19,37,25,3477.09,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
523097,285023_43995,Alexandr Sojka,Czechia,MF,8.04,321,108,19628.07,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
419302,285023_43835,Abdullah Alhamddan,Saudi Arabia,FW,8.01,114,44,6943.92,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
336472,285023_43938,Andrej Kramaric,Croatia,FW,7.86,141,44,8703.29,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
395205,285023_43963,Bernardo Silva,Portugal,MF,7.83,135,45,8893.5,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
505097,285023_43872,Samir El Mourabet,Morocco,MF,7.76,111,44,7005.23,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
476348,285023_43928,Damian Bobadilla,Paraguay,MF,7.75,179,52,13214.61,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
448411,285023_43899,Jacob Shaffelburg,Canada,MF,7.73,126,66,9824.74,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
