player_id,team_id,player_name,team,position,goals,assists,total_competition_minutes_played,fdcp_top_scorer_rank,source_tab,story_id,classification
430150,285023_43970,Alexander Isak,Sweden,FW,1,3,296,33,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
485655,285023_43946,Michael Olise,France,FW,0,3,245,126,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430605,285023_43924,Bruno Guimaraes,Brazil,MF,0,3,273,127,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
389867,285023_43946,Kylian Mbappe,France,FW,4,2,290,2,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
484851,285023_43948,Deniz Undav,Germany,FW,3,2,106,6,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
448815,285023_43879,Iliman Ndiaye,Senegal,FW,1,2,56,34,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
423941,285023_43899,Nathan Saliba,Canada,MF,1,2,145,35,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
344654,285023_43855,Mohamed Salah,Egypt,FW,1,2,168,36,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
393480,285023_43971,Breel Embolo,Switzerland,FW,1,2,282,37,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
483327,285023_43970,Viktor Gyokeres,Sweden,FW,1,2,302,38,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
400716,285023_43961,Martin Odegaard,Norway,MF,0,2,190,128,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
274078,285023_43978,Chris Wood,New Zealand,FW,0,2,205,129,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430740,285023_43872,Brahim Diaz,Morocco,FW,0,2,232,130,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
386413,285023_43948,Joshua Kimmich,Germany,DF,0,2,255,131,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430669,285023_43948,Florian Wirtz,Germany,MF,0,2,281,132,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430176,285023_43960,Ryan Gravenberch,Netherlands,MF,0,2,282,133,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
403585,285023_43911,Roberto Alvarado,Mexico,FW,0,2,285,134,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
436612,285023_43960,Denzel Dumfries,Netherlands,DF,0,2,297,135,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
433378,285023_43888,Hannibal Mejbri,Tunisia,MF,0,2,298,136,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
441234,285023_43928,Julio Enciso,Paraguay,FW,0,2,305,137,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
398680,285023_43946,Ousmane Dembele,France,FW,4,1,225,3,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
